Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *6001*, maximize the value without exceeding the total weight.

---

value,weight
916,627
16,740
174,126
286,843
191,248
747,425
975,553
157,235
92,673
348,426
797,695
101,51
633,552
868,716
573,960
190,236
148,745
764,56
944,285
331,326
911,209
729,655
570,560
826,766
431,424
904,720
86,262
673,327
872,769
434,775
555,933
522,83
946,807
185,149
489,808
927,25
991,928
305,156
724,904
773,102
834,379
487,641
911,426
213,293
392,675
117,34
690,765
926,689
34,427
787,608
317,250
540,328
881,985
799,532
226,44
900,263
696,109
142,218
854,344
565,546
782,920
1000,354
567,579
951,826
648,391
671,444
271,248
863,206
346,352
911,889
327,657
481,29
151,994
71,207
340,259
140,968
532,758
575,51
686,652
657,386
833,233
648,221
467,974
812,33
207,705
110,105
440,179
441,436
202,102
104,491
888,304
215,172
287,368
334,815
66,580
208,13
407,405
506,600
222,432
110,852

---

Please maximize the value and give me the answer.
