Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *20217*, maximize the value without exceeding the total weight.

---

value,weight
411,193
76,445
37,475
713,892
871,141
710,187
751,518
449,253
388,294
744,955
4,69
248,420
120,485
615,733
540,934
25,686
251,686
639,241
304,490
495,535
335,238
100,393
81,693
661,248
478,934
124,889
301,859
29,905
487,855
198,272
226,203
301,525
409,789
20,462
345,437
426,210
342,565
444,494
460,805
129,648
761,392
507,755
783,223
864,999
96,728
320,660
794,99
890,619
138,240
239,777
236,352
240,777
200,846
626,437
249,842
687,649
472,578
257,548
789,477
144,947
293,462
731,284
895,361
203,628
528,725
818,813
366,710
747,920
394,261
299,395
550,775
756,983
558,567
643,936
76,33
567,706
659,668
218,876
365,834
965,516
104,327
35,527
667,532
319,851
438,703
682,307
895,641
796,469
465,835
708,436
407,902
91,846
439,598
130,377
425,745
396,478
382,354
589,618
838,381
994,341

---

Please maximize the value and give me the answer.
