Given following Traveling salesman problem (TSP) instance, please find the optimal tour and the optimal tour length. Moreover, the information below includes the node coordinate type, edge weight type, edge weight format, and display data type.

After the optimal tour is found, please output the optimal tour length.


[TSP_DATA_INFO]
Type: TSP, Traveling salesman problem (TSP) 
Node coordinate type: None,  
Edge weight type: EUC_2D, Euclidean distance in 2D 
Edge weight format: None,  
Display data type: None,  

[ADJACENCY_MATRIX]
1: [0, 12.369, 19.209, 31.064, 22.204, 16.763, 22.825, 11.662, 24.207, 34.015, 12.083, 20.881, 41.869, 26.926, 36.014, 18.601, 30.676, 27.586, 45.793, 20.881, 26.926, 7.071, 21.587, 29.0, 33.106, 18.868, 8.062, 16.155, 21.378, 32.65, 17.0, 6.083, 42.953, 30.61, 27.313, 31.064, 30.414, 18.788, 43.046, 56.036, 44.204, 44.944, 34.176, 37.656, 42.048, 13.928, 23.324, 12.369, 26.401, 24.207, 13.892]
2: [12.369, 0, 15.297, 37.014, 21.024, 28.071, 34.928, 22.204, 16.279, 28.071, 10.63, 24.759, 50.12, 37.656, 35.468, 8.544, 34.059, 35.777, 50.912, 12.042, 14.765, 10.63, 33.956, 41.11, 43.417, 29.069, 19.026, 18.974, 9.055, 23.77, 23.324, 11.402, 39.115, 20.0, 19.105, 24.413, 31.906, 14.56, 35.44, 61.522, 50.448, 48.01, 46.487, 38.949, 40.262, 19.723, 29.411, 24.739, 21.024, 13.892, 21.024]
3: [19.209, 15.297, 0, 49.679, 36.056, 35.355, 35.014, 21.095, 31.0, 43.012, 25.08, 38.275, 61.074, 45.651, 50.596, 23.0, 48.021, 46.755, 64.203, 7.81, 24.166, 12.207, 36.674, 45.607, 51.971, 25.318, 27.203, 9.487, 17.088, 37.483, 15.811, 22.804, 54.332, 32.28, 10.05, 12.083, 46.519, 29.833, 49.497, 74.653, 63.032, 62.266, 47.0, 53.712, 55.543, 32.016, 41.869, 28.46, 36.222, 27.295, 32.558]
4: [31.064, 37.014, 49.679, 0, 20.396, 21.024, 37.121, 37.643, 32.757, 31.401, 26.627, 12.53, 15.033, 17.889, 18.868, 35.341, 7.616, 7.616, 14.765, 48.918, 44.944, 38.013, 31.257, 28.636, 17.692, 42.579, 24.166, 47.011, 43.909, 38.013, 46.239, 26.907, 30.529, 41.593, 55.973, 60.811, 12.649, 26.571, 40.522, 25.0, 13.454, 16.031, 40.853, 14.866, 24.839, 17.692, 7.81, 29.428, 28.071, 37.643, 17.205]
5: [22.204, 21.024, 36.056, 20.396, 0, 25.495, 40.224, 33.242, 12.369, 14.213, 11.18, 9.22, 35.355, 30.463, 14.56, 16.279, 14.765, 23.195, 31.906, 32.757, 25.06, 27.074, 36.125, 38.833, 33.956, 40.162, 20.591, 37.121, 25.456, 18.248, 39.115, 16.125, 20.881, 21.213, 39.661, 45.277, 11.314, 7.071, 24.207, 42.438, 32.696, 27.586, 48.795, 18.028, 20.025, 12.042, 15.133, 29.155, 8.246, 17.464, 14.142]
6: [16.763, 28.071, 35.355, 21.024, 25.495, 0, 16.492, 18.028, 34.015, 39.699, 21.84, 18.028, 27.203, 10.296, 34.438, 31.575, 24.739, 14.56, 34.928, 37.643, 41.304, 23.259, 11.18, 13.928, 16.643, 21.84, 9.055, 29.732, 37.014, 42.059, 27.203, 17.029, 44.654, 42.379, 44.011, 47.413, 27.313, 26.833, 49.679, 44.011, 31.953, 37.0, 23.345, 33.242, 41.146, 13.601, 15.524, 8.944, 33.015, 36.401, 11.402]
7: [22.825, 34.928, 35.014, 37.121, 40.224, 16.492, 0, 14.036, 46.098, 54.037, 33.302, 34.015, 39.85, 21.587, 50.695, 41.34, 41.231, 30.0, 50.16, 40.311, 49.659, 25.71, 6.083, 14.213, 26.926, 11.18, 19.849, 26.306, 43.658, 54.562, 20.881, 27.019, 60.415, 53.254, 45.0, 46.39, 43.658, 39.598, 63.781, 58.249, 46.53, 53.151, 12.042, 49.729, 57.385, 28.302, 32.016, 11.314, 46.755, 46.872, 26.42]
8: [11.662, 22.204, 21.095, 37.643, 33.242, 18.028, 14.036, 0, 35.805, 45.618, 23.707, 30.0, 45.222, 27.586, 46.271, 29.698, 39.205, 32.202, 52.202, 26.306, 36.892, 12.083, 15.811, 25.08, 33.941, 7.211, 14.036, 13.0, 30.414, 44.204, 9.22, 17.464, 54.12, 41.725, 31.016, 32.757, 40.012, 30.414, 54.708, 61.741, 49.659, 52.953, 26.077, 47.011, 52.612, 23.022, 30.594, 9.22, 38.013, 35.355, 22.023]
9: [24.207, 16.279, 31.0, 32.757, 12.369, 34.015, 46.098, 35.805, 0, 12.042, 12.806, 21.024, 47.676, 41.0, 23.345, 8.0, 26.926, 35.0, 43.829, 25.495, 13.454, 26.0, 43.267, 47.927, 45.277, 43.012, 26.627, 35.171, 16.155, 8.485, 39.0, 19.105, 23.77, 9.0, 31.623, 37.643, 22.825, 7.28, 19.313, 54.203, 44.944, 38.601, 56.303, 28.425, 26.42, 20.881, 27.019, 34.828, 6.403, 5.657, 23.087]
10: [34.015, 28.071, 43.012, 31.401, 14.213, 39.699, 54.037, 45.618, 12.042, 0, 21.932, 22.825, 46.174, 44.294, 15.811, 20.025, 24.083, 36.056, 38.833, 37.483, 23.707, 37.108, 50.21, 53.009, 47.17, 52.773, 34.205, 46.69, 27.893, 9.22, 50.0, 28.178, 12.083, 15.62, 43.417, 49.477, 19.026, 15.232, 10.0, 48.384, 41.195, 31.953, 62.968, 21.84, 16.279, 26.173, 28.231, 42.802, 7.616, 16.763, 28.32]
