Given following Traveling salesman problem (TSP) instance, please find the optimal tour and the optimal tour length. Moreover, the information below includes the node coordinate type, edge weight type, edge weight format, and display data type.

After the optimal tour is found, please output the optimal tour length.


[TSP_DATA_INFO]
Type: TSP, Traveling salesman problem (TSP) 
Node coordinate type: None,  
Edge weight type: EUC_2D, Euclidean distance in 2D 
Edge weight format: None,  
Display data type: None,  

[ADJACENCY_MATRIX]
1: [0, 666.108, 281.114, 395.601, 291.204, 326.267, 640.8, 426.878, 600.187, 561.471, 1040.973, 655.019, 975.0, 1120.77, 299.04, 260.048, 429.535, 161.555, 305.0, 210.06, 286.923, 46.098, 181.177, 274.591, 410.03, 728.972, 798.514, 707.001, 406.263, 360.069, 146.373, 90.554, 827.315, 135.093, 121.655, 125.0, 207.966, 240.416, 166.208, 208.926, 395.38, 565.796, 463.816, 154.434, 240.208, 279.866, 791.281, 267.301, 64.031, 217.083, 789.383, 1220.461]
2: [666.108, 0, 649.327, 1047.091, 945.145, 978.085, 45.0, 956.151, 1134.956, 1132.983, 1638.788, 1258.59, 1440.078, 1515.726, 957.823, 724.034, 494.773, 595.483, 843.401, 564.469, 392.46, 636.416, 509.828, 921.792, 1028.846, 1191.512, 1301.509, 1243.724, 635.02, 390.448, 541.225, 730.0, 1488.707, 782.081, 776.981, 785.0, 857.7, 896.939, 827.964, 869.741, 896.172, 102.591, 1123.71, 744.883, 823.286, 859.084, 1151.271, 910.302, 728.011, 596.259, 1421.557, 1716.049]
3: [281.114, 649.327, 0, 603.511, 508.945, 542.517, 610.574, 308.058, 485.644, 487.263, 1266.689, 891.361, 1247.758, 1399.732, 504.876, 537.401, 217.313, 134.629, 207.002, 440.965, 288.531, 240.52, 361.179, 505.693, 652.534, 1005.945, 1067.638, 970.322, 651.249, 504.207, 208.926, 245.204, 903.396, 393.605, 373.664, 367.696, 447.465, 462.088, 392.237, 426.878, 246.982, 550.091, 556.597, 434.195, 219.829, 552.675, 1072.311, 504.802, 288.487, 463.249, 995.314, 1483.594]
4: [395.601, 1047.091, 603.511, 0, 104.403, 69.642, 1026.365, 525.0, 611.003, 533.901, 663.193, 294.364, 711.073, 897.009, 100.125, 384.22, 800.25, 532.353, 474.684, 500.625, 681.487, 436.606, 537.703, 125.3, 109.202, 516.236, 526.806, 417.433, 579.871, 689.529, 540.856, 370.54, 517.349, 266.552, 275.136, 270.601, 190.394, 155.242, 230.489, 188.282, 544.541, 950.329, 245.204, 307.002, 411.096, 230.705, 659.564, 137.295, 345.254, 477.624, 397.02, 908.639]
5: [291.204, 945.145, 508.945, 104.403, 0, 35.355, 923.594, 470.558, 583.631, 513.469, 760.805, 382.426, 769.042, 944.312, 25.0, 309.233, 700.071, 430.465, 400.78, 406.602, 577.17, 332.453, 436.835, 31.623, 150.083, 552.268, 584.145, 478.592, 509.755, 594.348, 436.606, 270.185, 589.958, 163.248, 170.88, 166.208, 87.464, 50.99, 126.59, 85.147, 479.505, 847.659, 266.693, 212.25, 331.21, 170.66, 673.591, 47.434, 241.868, 386.685, 499.925, 984.441]
6: [326.267, 978.085, 542.517, 69.642, 35.355, 0, 957.04, 491.554, 596.008, 523.259, 726.103, 349.285, 744.194, 922.781, 40.311, 328.824, 735.017, 465.672, 427.931, 435.23, 611.903, 367.73, 469.068, 57.009, 124.197, 533.339, 559.129, 452.217, 528.015, 623.699, 471.832, 305.041, 568.243, 196.977, 205.548, 201.308, 120.83, 86.313, 161.941, 120.416, 504.009, 881.036, 260.048, 240.832, 360.069, 182.003, 661.91, 70.711, 277.218, 413.793, 464.57, 954.895]
7: [640.8, 45.0, 610.574, 1026.365, 923.594, 957.04, 0, 918.096, 1095.924, 1095.73, 1627.421, 1245.201, 1440.312, 1521.726, 935.361, 713.863, 451.248, 562.25, 807.001, 551.77, 361.732, 609.139, 491.172, 901.18, 1012.423, 1190.095, 1297.787, 1236.74, 636.965, 385.519, 511.517, 701.231, 1459.632, 760.345, 754.205, 761.577, 836.316, 874.714, 804.394, 846.537, 857.555, 76.158, 1094.806, 726.997, 789.383, 844.423, 1156.828, 890.183, 701.73, 584.637, 1405.08, 1715.066]
8: [426.878, 956.151, 308.058, 525.0, 470.558, 491.554, 918.096, 0, 183.439, 180.347, 1144.902, 812.05, 1234.342, 1414.231, 452.548, 660.984, 506.582, 381.215, 125.897, 635.964, 580.388, 415.03, 586.728, 486.544, 615.549, 1022.803, 1049.405, 941.077, 831.039, 758.765, 457.22, 338.711, 645.155, 455.0, 435.46, 421.545, 460.57, 446.01, 413.824, 421.574, 64.031, 855.862, 359.026, 529.741, 187.417, 598.54, 1135.892, 495.101, 383.438, 643.817, 860.145, 1430.472]
9: [600.187, 1134.956, 485.644, 611.003, 583.631, 596.008, 1095.924, 183.439, 0, 83.217, 1165.611, 873.856, 1316.757, 1507.116, 561.471, 817.955, 670.317, 564.646, 308.058, 810.247, 763.217, 593.043, 766.551, 606.238, 714.178, 1126.111, 1134.548, 1024.463, 998.211, 940.492, 640.312, 510.025, 570.197, 606.98, 589.428, 574.674, 596.091, 571.948, 557.853, 555.0, 239.27, 1035.592, 389.936, 685.584, 360.867, 733.894, 1257.06, 617.839, 550.568, 815.138, 883.233, 1486.775]
10: [561.471, 1132.983, 487.263, 533.901, 513.469, 523.259, 1095.73, 180.347, 83.217, 0, 1082.647, 792.086, 1236.578, 1428.294, 490.433, 763.692, 686.477, 547.951, 290.904, 770.276, 751.482, 560.29, 734.932, 537.82, 638.847, 1049.976, 1055.047, 944.934, 950.053, 912.14, 619.294, 471.01, 500.899, 552.268, 536.144, 521.177, 533.667, 506.211, 499.925, 492.443, 243.977, 1031.952, 307.774, 631.981, 329.014, 669.645, 1185.169, 550.273, 507.001, 771.962, 800.078, 1404.039]
11: [1040.973, 1638.788, 1266.689, 663.193, 760.805, 726.103, 1627.421, 1144.902, 1165.611, 1082.647, 0, 387.072, 442.719, 619.556, 762.365, 914.822, 1460.693, 1190.095, 1124.3, 1075.663, 1314.173, 1085.564, 1143.525, 770.016, 631.269, 541.041, 417.433, 417.642, 1042.413, 1250.97, 1186.781, 1030.983, 706.134, 905.884, 920.34, 920.054, 835.06, 810.386, 885.127, 845.532, 1180.042, 1552.321, 789.24, 912.921, 1067.954, 786.67, 705.16, 775.065, 1000.012, 1042.929, 285.044, 398.56]
12: [655.019, 1258.59, 891.361, 294.364, 382.426, 349.285, 1245.201, 812.05, 873.856, 792.086, 387.072, 0, 452.134, 653.242, 388.104, 537.703, 1078.355, 806.877, 768.847, 694.136, 927.16, 700.018, 758.172, 387.621, 245.0, 335.037, 283.24, 182.483, 688.186, 874.643, 800.391, 650.577, 584.209, 520.0, 535.21, 535.84, 450.999, 429.942, 503.016, 465.296, 836.316, 1169.626, 484.381, 526.118, 705.301, 401.404, 517.421, 391.152, 616.644, 662.59, 188.215, 618.567]
13: [975.0, 1440.078, 1247.758, 711.073, 769.042, 744.194, 1440.312, 1234.342, 1316.757, 1236.578, 442.719, 452.134, 0, 205.548, 784.092, 759.276, 1399.509, 1136.541, 1169.466, 919.918, 1194.759, 1020.417, 1008.191, 759.951, 620.081, 254.018, 185.068, 293.641, 805.248, 1056.184, 1103.653, 1004.154, 1010.359, 854.181, 874.314, 881.192, 806.923, 804.316, 862.699, 836.376, 1248.079, 1371.313, 930.86, 821.721, 1098.328, 696.024, 324.423, 755.86, 959.284, 884.59, 539.676, 278.657]
14: [1120.77, 1515.726, 1399.732, 897.009, 944.312, 922.781, 1521.726, 1414.231, 1507.116, 1428.294, 619.556, 653.242, 205.548, 0, 961.691, 883.883, 1534.218, 1280.674, 1340.634, 1034.65, 1313.202, 1164.689, 1127.209, 931.357, 799.156, 396.011, 374.433, 484.175, 887.426, 1146.484, 1238.79, 1160.873, 1215.905, 1009.715, 1030.594, 1039.255, 971.404, 974.59, 1026.158, 1004.453, 1423.043, 1457.481, 1125.278, 966.398, 1267.567, 848.764, 364.966, 925.216, 1113.564, 1000.125, 744.648, 318.904]
15: [299.04, 957.823, 504.876, 100.125, 25.0, 40.311, 935.361, 452.548, 561.471, 490.433, 762.365, 388.104, 784.092, 961.691, 0, 332.415, 700.161, 432.348, 387.621, 424.794, 585.875, 338.6, 451.054, 55.902, 164.012, 571.074, 599.041, 492.367, 533.128, 611.658, 443.001, 270.416, 568.705, 176.139, 181.177, 174.642, 102.591, 61.033, 132.853, 90.139, 464.004, 859.593, 241.868, 231.138, 319.883, 195.576, 695.593, 71.589, 246.221, 406.079, 497.041, 995.113]
16: [260.048, 724.034, 537.401, 384.22, 309.233, 328.824, 713.863, 660.984, 817.955, 763.692, 914.822, 537.703, 759.276, 883.883, 332.415, 0, 650.711, 407.83, 548.862, 165.076, 435.488, 297.069, 249.098, 277.714, 326.497, 505.693, 597.537, 525.856, 200.811, 337.083, 356.721, 330.946, 897.065, 211.483, 228.528, 243.311, 244.182, 283.769, 265.047, 282.179, 640.781, 639.531, 570.088, 132.382, 476.366, 155.724, 539.491, 261.964, 281.824, 130.384, 710.106, 1022.668]
17: [429.535, 494.773, 217.313, 800.25, 700.071, 735.017, 451.248, 506.582, 670.317, 686.477, 1460.693, 1078.355, 1399.509, 1534.218, 700.161, 650.711, 0, 271.662, 421.1, 512.079, 253.032, 383.438, 418.001, 691.158, 834.341, 1149.478, 1226.02, 1136.332, 707.425, 492.392, 296.184, 430.0, 1120.29, 561.471, 544.518, 542.794, 627.415, 650.308, 575.782, 615.183, 442.634, 408.075, 773.256, 579.008, 436.578, 708.255, 1187.697, 687.204, 461.736, 543.622, 1196.505, 1649.371]
18: [161.555, 595.483, 134.629, 532.353, 430.465, 465.672, 562.25, 381.215, 564.646, 547.951, 1190.095, 806.877, 1136.541, 1280.674, 432.348, 407.83, 271.662, 0, 258.118, 306.472, 205.244, 116.297, 229.401, 420.119, 562.694, 890.0, 959.909, 867.439, 516.769, 385.032, 80.156, 162.788, 903.244, 290.259, 272.947, 271.155, 355.879, 380.132, 305.0, 345.326, 330.492, 492.976, 541.133, 315.357, 228.035, 441.277, 946.005, 415.752, 190.263, 328.672, 929.368, 1381.204]
19: [305.0, 843.401, 207.002, 474.684, 400.78, 427.931, 807.001, 125.897, 308.058, 290.904, 1124.3, 768.847, 1169.466, 1340.634, 387.621, 548.862, 421.1, 258.118, 0, 512.445, 460.652, 290.172, 460.977, 410.03, 550.681, 945.476, 984.733, 879.332, 711.003, 632.949, 332.415, 219.829, 700.589, 350.892, 330.189, 317.569, 371.248, 366.231, 318.904, 336.341, 91.924, 741.923, 367.764, 420.387, 75.0, 504.48, 1044.844, 415.482, 267.442, 521.967, 843.445, 1381.955]
20: [210.06, 564.469, 440.965, 500.625, 406.602, 435.23, 551.77, 635.964, 810.247, 770.276, 1075.663, 694.136, 919.918, 1034.65, 424.794, 165.076, 512.079, 306.472, 512.445, 0, 278.568, 223.607, 94.34, 378.451, 467.386, 665.902, 761.643, 690.887, 210.297, 189.011, 236.008, 300.375, 990.013, 256.564, 261.773, 275.045, 322.684, 365.548, 313.847, 348.174, 601.041, 476.707, 638.161, 194.487, 450.028, 295.466, 679.779, 364.589, 263.865, 35.355, 859.069, 1186.086]
