[METADATA]
File: E200-17c
COMMENT: Christofides, Mingozzi and Toth, 1979

[VRP_DATA_INFO]
Type: CVRP (Capacitated Vehicle Routing Problem)
Dimension: 200
Distance Metric: Euclidean (2D)
Vehicle Capacity: 200
Number of Vehicles: 17

[Depot]
Node 1: Coordinates: (35, 35), Demand: 0

[Customer Nodes]
# Format: Node ID: Coordinates (x, y), Demand
2: (22, 22), Demand: 18
3: (36, 26), Demand: 26
4: (21, 45), Demand: 11
5: (45, 35), Demand: 30
6: (55, 20), Demand: 21
7: (33, 34), Demand: 19
8: (50, 50), Demand: 15
9: (55, 45), Demand: 16
10: (26, 59), Demand: 29
11: (40, 66), Demand: 26
12: (55, 65), Demand: 37
13: (35, 51), Demand: 16
14: (62, 35), Demand: 12
15: (62, 57), Demand: 31
16: (62, 24), Demand: 8
17: (21, 36), Demand: 19
18: (33, 44), Demand: 20
19: (9, 56), Demand: 13
20: (62, 48), Demand: 15
21: (66, 14), Demand: 22
22: (44, 13), Demand: 28
23: (26, 13), Demand: 12
24: (11, 28), Demand: 6
25: (7, 43), Demand: 27
26: (17, 64), Demand: 14
27: (41, 46), Demand: 18
28: (55, 34), Demand: 17
29: (35, 16), Demand: 29
30: (52, 26), Demand: 13
31: (43, 26), Demand: 22
32: (31, 76), Demand: 25
33: (22, 53), Demand: 28
34: (26, 29), Demand: 27
35: (50, 40), Demand: 19
36: (55, 50), Demand: 10
37: (54, 10), Demand: 12
38: (60, 15), Demand: 14
39: (47, 66), Demand: 24
40: (30, 60), Demand: 16
41: (30, 50), Demand: 33
42: (12, 17), Demand: 15
43: (15, 14), Demand: 11
44: (16, 19), Demand: 18
45: (21, 48), Demand: 17
46: (50, 30), Demand: 21
47: (51, 42), Demand: 27
48: (50, 15), Demand: 19
49: (48, 21), Demand: 20
50: (12, 38), Demand: 5
51: (37, 52), Demand: 7
52: (49, 49), Demand: 30
53: (52, 64), Demand: 16
54: (20, 26), Demand: 9
55: (40, 30), Demand: 21
56: (21, 47), Demand: 15
57: (17, 63), Demand: 19
58: (31, 62), Demand: 23
59: (52, 33), Demand: 11
60: (51, 21), Demand: 5
61: (42, 41), Demand: 19
62: (31, 32), Demand: 29
63: (5, 25), Demand: 23
64: (12, 42), Demand: 21
65: (36, 16), Demand: 10
66: (52, 41), Demand: 15
67: (27, 23), Demand: 3
68: (17, 33), Demand: 41
69: (13, 13), Demand: 9
70: (57, 58), Demand: 28
71: (62, 42), Demand: 8
72: (42, 57), Demand: 8
73: (16, 57), Demand: 16
74: (8, 52), Demand: 10
75: (7, 38), Demand: 28
76: (27, 68), Demand: 7
77: (30, 48), Demand: 15
78: (43, 67), Demand: 14
79: (58, 48), Demand: 6
80: (58, 27), Demand: 19
81: (37, 69), Demand: 11
82: (38, 46), Demand: 12
83: (46, 10), Demand: 23
84: (61, 33), Demand: 26
85: (62, 63), Demand: 17
86: (63, 69), Demand: 6
87: (32, 22), Demand: 9
88: (45, 35), Demand: 15
89: (59, 15), Demand: 14
90: (5, 6), Demand: 7
91: (10, 17), Demand: 27
92: (21, 10), Demand: 13
93: (5, 64), Demand: 11
94: (30, 15), Demand: 16
95: (39, 10), Demand: 10
96: (32, 39), Demand: 5
97: (25, 32), Demand: 25
98: (25, 55), Demand: 17
99: (48, 28), Demand: 18
100: (56, 37), Demand: 10
101: (41, 49), Demand: 10
102: (35, 17), Demand: 7
103: (55, 45), Demand: 13
104: (55, 20), Demand: 19
105: (15, 30), Demand: 26
106: (25, 30), Demand: 3
107: (20, 50), Demand: 5
108: (10, 43), Demand: 9
109: (55, 60), Demand: 16
110: (30, 60), Demand: 16
