value,weight
20,747
392,148
518,294
406,971
311,248
91,489
855,497
277,915
276,441
948,722
973,151
301,675
265,560
588,220
525,280
238,20
100,481
324,920
80,189
899,822
271,121
617,327
770,216
42,294
863,912
752,168
230,598
193,47
608,337
194,223
979,925
938,43
410,967
825,973
73,112
215,497
647,24
841,772
316,1000
853,134
482,347
295,369
919,514
605,421
224,779
821,898
178,525
94,993
138,987
595,56
805,298
292,704
969,265
247,612
290,604
644,95
464,717
638,746
654,264
733,594
902,256
888,58
951,323
111,754
40,255
631,804
567,768
55,438
82,712
695,377
359,297
185,189
991,154
55,799
428,947
692,240
444,982
463,27
38,660
17,978
329,233
992,941
627,22
892,745
239,177
758,425
944,811
841,684
58,774
800,395
88,904
55,524
991,448
430,743
586,956
240,717
991,893
658,696
398,800
54,692
450,25
119,696
304,286
175,392
325,245
101,130
4,307
346,962
676,482
594,461
527,598
392,295
455,309
593,977
956,729
355,570
793,715
711,161
84,141
241,164
683,571
96,248
596,311
857,350
157,505
934,334
746,783
588,875
685,214
250,427
552,909
853,665
742,346
320,656
727,700
977,238
114,749
311,282
533,481
311,188
736,695
446,904
311,795
833,751
438,965
112,762
311,514
601,891
222,196
288,698
278,633
868,136
557,565
949,604
546,421
906,576
863,474
23,807
481,293
67,789
668,877
255,98
676,730
195,597
278,901
563,90
997,198
62,903
960,217
543,49
800,790
196,605
472,484
972,981
853,154
686,954
621,570
188,929
452,834
510,699
161,391
363,404
303,664
987,824
567,956
15,213
467,178
826,57
293,891
41,633
94,94
485,818
67,384
242,720
370,381
951,625
154,15
38,13
888,530
78,597
