value,weight
505,556
437,709
795,687
139,132
596,961
816,434
540,298
986,716
945,490
385,515
618,352
730,300
150,513
409,581
290,25
691,581
241,906
265,969
645,150
112,479
948,578
430,544
175,121
439,919
524,825
213,105
579,735
870,736
333,882
991,328
776,742
143,356
751,952
38,110
774,201
572,66
764,25
118,613
401,825
306,351
303,188
676,778
996,523
402,270
901,620
34,891
551,302
731,482
879,404
464,641
74,395
17,441
110,50
220,965
711,877
697,408
381,150
483,971
531,537
314,91
291,505
157,171
252,388
676,187
557,304
180,61
52,585
44,247
295,713
380,770
44,714
430,406
580,251
892,896
913,380
89,481
585,375
556,388
355,293
750,275
862,546
869,766
824,855
513,282
612,770
291,186
429,44
606,965
279,823
717,700
597,409
708,853
836,449
819,832
783,437
701,406
572,398
415,465
283,689
667,821
855,450
332,57
661,439
804,761
394,502
82,659
953,916
31,243
369,739
143,214
116,367
149,672
244,278
318,298
913,266
944,875
702,68
468,66
849,854
22,261
408,364
949,505
273,984
966,663
962,954
827,599
575,544
497,700
546,127
791,596
357,934
362,850
675,443
445,513
940,957
478,127
175,342
300,659
434,858
132,637
725,720
467,305
492,676
318,520
275,558
469,627
764,331
510,940
859,325
549,891
59,218
513,761
786,910
778,949
655,982
607,449
492,659
892,736
670,950
752,22
649,6
804,403
529,211
856,526
555,334
600,27
826,151
819,896
973,762
284,714
221,663
809,126
565,125
273,222
938,875
323,467
866,259
17,882
689,171
75,420
550,432
672,437
300,737
240,257
396,45
740,510
352,539
119,898
322,396
150,650
67,959
642,771
280,41
79,745
247,302
4,642
887,216
251,430
501,347
19,494
