value,weight
291,617
892,997
517,627
537,788
495,141
38,459
127,766
473,989
484,918
664,755
580,101
688,404
976,157
759,445
60,798
905,254
923,22
303,473
472,930
79,423
607,902
348,257
721,765
693,272
94,902
812,449
789,67
133,697
375,239
750,32
970,731
725,717
361,421
548,838
721,309
2,434
614,325
492,158
908,213
393,984
961,56
139,19
655,711
224,295
344,208
72,844
10,451
194,91
570,752
471,337
804,632
672,593
688,302
34,653
73,954
247,145
744,370
897,324
749,61
48,827
917,470
979,284
383,969
35,684
888,309
10,285
814,614
715,496
882,533
715,163
638,703
108,15
926,999
651,784
764,241
407,690
771,924
466,212
365,754
637,164
144,727
915,271
499,812
135,323
574,727
82,171
455,297
276,589
377,499
388,428
47,622
659,246
839,814
738,233
729,9
532,430
158,922
949,626
262,325
842,109
234,502
187,521
192,43
51,649
900,282
872,139
859,472
206,100
963,728
774,798
191,972
587,192
871,866
13,138
203,558
398,652
608,936
186,330
707,834
556,494
211,401
524,42
723,349
668,616
141,854
418,96
394,989
623,125
621,956
830,868
760,339
416,922
525,48
428,57
399,530
661,47
922,722
595,324
332,575
491,101
927,852
330,642
143,856
389,328
813,458
68,187
270,631
244,708
70,98
372,83
126,990
168,946
989,803
113,605
418,931
93,945
7,279
162,416
297,163
70,198
28,722
971,996
315,127
574,415
534,66
70,555
940,380
697,993
591,23
882,450
64,852
351,63
111,626
135,55
732,312
57,876
52,351
15,162
51,559
122,253
224,884
703,926
918,877
838,953
830,474
843,14
986,119
269,594
397,913
948,530
910,963
233,236
179,85
357,953
889,354
579,19
866,613
265,983
440,608
41,654
