value,weight
435,182
599,703
29,977
965,838
822,35
2,220
550,380
764,6
779,540
707,285
788,122
188,774
464,91
507,463
28,771
741,351
27,964
179,659
479,136
594,633
678,932
720,642
881,899
529,753
494,411
31,619
5,665
488,274
991,324
161,530
290,1000
857,158
825,50
32,152
224,939
502,620
966,963
632,495
643,115
748,881
889,70
158,132
526,509
876,352
47,262
276,469
113,136
157,20
673,566
922,859
372,733
371,43
8,164
862,207
97,103
35,530
519,840
13,5
37,195
980,229
781,11
359,213
710,750
286,485
767,994
158,655
262,427
246,209
929,443
102,20
862,172
384,616
334,573
222,162
499,14
835,427
899,833
110,38
693,935
944,293
416,820
303,928
698,369
643,140
454,724
653,372
263,110
632,975
289,233
991,374
567,219
534,567
990,43
181,794
737,175
719,896
486,872
33,643
525,275
725,247
369,852
766,651
303,833
358,355
252,944
44,397
371,614
17,101
179,957
801,368
438,697
335,498
534,392
256,52
851,412
114,941
960,838
894,996
859,608
416,319
514,886
207,763
227,706
128,369
956,204
509,265
537,146
267,46
196,353
153,918
391,888
220,588
213,645
775,779
614,271
904,481
297,656
534,957
244,724
38,543
55,242
53,99
910,734
664,98
93,664
943,149
38,253
48,254
997,487
359,421
581,724
195,51
676,8
4,671
841,712
641,707
198,437
974,594
760,8
858,448
235,320
518,309
843,493
578,160
957,8
634,349
292,177
981,594
983,124
174,836
63,785
379,360
783,95
827,848
876,509
533,709
524,933
507,228
707,349
21,166
80,810
162,127
926,867
18,875
334,255
774,400
154,357
625,60
604,414
392,892
957,281
908,173
578,555
201,907
113,560
310,604
633,986
773,192
183,685
669,792
