value,weight
32,839
924,16
914,378
698,791
3,748
735,61
339,29
169,279
992,485
984,326
585,35
497,719
61,388
616,896
833,892
306,696
808,413
744,172
28,329
623,770
547,365
677,587
566,596
342,130
739,908
572,676
682,866
725,899
140,637
710,155
927,873
558,855
422,299
949,337
29,68
715,637
627,484
653,312
624,108
81,770
110,887
803,773
347,494
41,441
516,415
641,126
974,265
402,749
926,7
903,212
777,390
256,412
125,213
355,640
462,600
504,187
332,505
786,430
834,636
17,486
418,924
124,678
635,383
867,678
652,507
91,504
995,700
523,170
414,988
619,597
371,445
981,545
659,886
723,307
8,863
560,636
264,386
699,719
362,112
669,886
677,933
588,593
559,762
896,269
451,717
634,861
220,7
357,496
334,610
268,311
708,164
323,48
987,476
138,243
542,888
452,137
971,513
862,780
610,404
34,912
774,389
411,516
596,178
203,300
33,337
225,902
472,239
326,814
984,382
126,737
819,642
220,403
771,697
541,573
184,813
39,998
461,855
443,501
240,713
645,488
303,479
836,660
416,539
885,426
1,653
530,58
614,235
8,207
377,418
214,743
260,473
25,301
570,838
196,796
923,984
685,506
790,81
499,630
25,101
867,256
660,883
170,36
59,847
509,139
354,465
84,254
571,822
37,991
322,360
220,590
490,997
880,148
33,337
873,224
726,233
846,452
499,622
179,307
597,505
935,777
640,1
11,998
288,134
375,905
994,329
199,126
825,762
738,19
700,141
715,141
500,66
928,977
716,224
392,97
593,926
722,678
289,22
168,773
824,894
906,567
189,67
207,1000
795,180
111,28
283,152
699,313
863,190
374,13
537,983
93,965
546,546
529,534
111,124
78,116
342,745
91,541
70,251
274,729
716,502
442,81
