value,weight
846,253
530,734
760,416
112,549
769,322
933,859
985,987
935,525
278,723
670,548
967,465
559,173
947,482
318,598
311,706
240,358
934,803
678,746
130,271
813,480
993,563
19,105
628,338
268,600
401,362
722,586
864,544
939,865
530,211
956,977
69,191
884,237
20,905
179,191
291,546
857,579
193,866
467,38
966,194
215,632
420,613
321,995
441,60
687,375
538,669
359,612
252,599
704,227
828,589
597,474
967,588
894,930
779,747
441,126
612,270
238,385
834,799
320,252
8,2
231,684
272,426
202,396
673,941
561,476
858,81
649,38
129,90
65,168
980,82
633,139
145,763
435,591
553,316
401,825
926,541
886,914
846,216
777,701
24,294
851,404
387,507
82,383
341,488
942,891
49,659
472,939
922,893
467,94
212,512
378,165
858,114
41,886
441,610
48,777
20,318
226,503
321,879
124,778
816,666
168,278
612,27
1,882
402,200
513,602
375,495
63,308
366,845
892,388
678,132
516,399
17,664
138,97
273,815
251,27
454,419
861,700
571,797
833,619
934,119
691,718
453,213
386,258
566,457
371,696
23,755
416,504
940,241
158,205
359,856
636,989
778,111
647,379
840,428
290,522
985,198
27,400
452,687
225,164
791,643
697,758
498,177
968,34
161,421
603,649
992,431
98,804
913,908
115,133
288,822
218,964
480,243
302,746
303,527
103,982
292,47
828,330
185,548
441,881
99,103
45,679
46,839
313,572
454,140
549,423
280,855
277,812
527,616
576,697
858,371
729,691
74,336
102,775
562,558
542,559
535,724
368,908
7,596
950,795
622,844
184,245
891,553
13,670
601,250
341,290
529,822
521,239
357,964
692,59
167,573
275,355
120,768
767,172
741,498
764,394
532,599
641,611
140,329
960,799
418,516
472,295
