value,weight
818,900
379,304
636,318
96,447
902,928
957,86
574,497
656,552
531,913
911,566
195,784
455,471
239,32
966,760
603,17
168,17
490,881
782,676
855,461
590,714
558,337
595,300
112,240
948,483
309,337
523,20
892,198
636,212
182,994
469,859
121,862
140,216
32,768
459,65
976,176
145,5
477,432
27,857
131,496
520,755
416,755
266,14
6,330
863,466
959,355
679,79
433,766
865,358
265,707
262,908
507,627
911,212
351,113
169,328
824,677
54,924
47,725
200,135
52,160
751,222
44,537
594,791
414,964
226,527
983,512
921,728
109,81
842,419
1,808
954,342
613,434
659,154
653,634
482,195
859,372
230,845
450,583
257,191
20,573
556,775
959,114
634,98
882,719
518,662
61,674
425,846
246,260
27,120
80,286
939,687
158,377
274,89
990,489
409,644
488,460
283,161
557,37
396,941
941,688
209,200
153,441
266,628
127,782
98,188
539,117
367,382
730,443
501,671
578,19
757,321
894,247
658,923
398,285
236,413
474,753
493,775
367,723
809,413
98,693
179,73
754,868
411,197
866,904
587,379
180,553
121,555
785,328
782,632
452,247
605,663
663,878
79,373
772,443
179,340
382,557
868,426
537,109
794,943
923,170
226,720
214,15
681,373
710,27
580,947
244,365
683,166
77,474
771,759
885,133
43,782
557,769
535,685
236,230
208,880
489,182
332,948
14,242
449,987
224,366
605,953
371,717
826,591
74,50
93,794
621,61
21,302
939,991
616,116
318,402
313,877
695,607
470,914
262,725
254,282
387,363
456,439
827,114
166,701
834,930
953,400
215,519
886,841
61,320
709,724
717,581
154,169
145,770
524,709
260,500
891,845
389,550
120,351
10,816
4,324
984,797
666,918
49,648
288,282
655,763
464,241
