value,weight
493,112
553,841
399,603
847,312
552,461
172,862
56,118
94,352
229,446
349,559
358,468
534,256
354,685
381,553
982,61
975,905
181,974
845,717
697,10
740,531
672,686
18,284
379,741
139,83
648,829
41,597
127,467
690,884
801,582
475,396
476,794
875,544
739,620
914,394
818,245
72,926
784,565
306,73
93,717
726,715
27,648
816,374
920,543
966,250
609,984
214,663
755,210
71,726
443,32
156,485
102,303
53,85
954,454
464,585
539,881
837,668
513,362
335,287
351,517
30,199
775,837
921,551
920,328
920,263
945,52
720,9
624,653
576,515
963,437
456,198
384,566
634,698
912,519
224,388
333,816
869,85
413,971
672,696
31,841
98,367
514,846
273,114
892,115
509,758
400,230
415,750
153,848
90,505
355,635
249,784
977,149
88,329
840,421
759,332
827,505
489,634
592,778
211,733
719,437
687,601
531,86
688,589
369,195
128,853
334,410
958,239
133,336
51,743
61,191
611,290
824,675
321,564
576,890
370,702
685,534
612,447
34,576
736,78
693,282
266,585
140,104
209,93
453,756
290,587
118,454
231,875
707,444
77,368
854,571
475,632
649,370
838,566
847,951
569,373
744,673
770,859
851,10
112,311
942,886
576,569
801,532
95,173
744,624
290,132
359,410
497,135
856,23
426,840
407,161
265,999
847,854
501,397
310,786
854,329
475,818
315,573
856,511
384,236
554,738
532,386
677,234
48,151
917,807
676,218
839,906
964,991
998,587
495,780
233,838
112,622
521,35
77,402
969,737
205,754
198,103
639,391
846,807
37,390
317,111
679,552
170,756
180,489
160,573
116,53
680,201
704,410
956,527
219,942
430,304
746,318
615,507
598,55
588,301
243,349
275,586
864,374
971,332
15,714
673,23
655,10
