value,weight
908,899
112,396
910,286
758,179
63,248
83,593
103,1
229,443
732,193
108,474
173,439
421,355
553,216
300,148
485,552
478,236
460,457
700,104
96,957
83,694
727,497
121,599
490,424
626,542
279,328
672,48
902,534
985,759
184,569
90,703
139,869
442,659
154,703
769,573
321,720
359,697
455,856
97,796
420,832
621,462
434,371
31,137
175,538
589,829
432,467
669,234
42,821
486,401
978,963
483,288
669,738
132,424
993,353
79,180
346,380
876,103
568,485
710,194
734,96
277,834
654,592
392,706
327,755
447,994
672,439
247,860
319,960
119,286
458,168
511,841
887,441
833,125
255,290
391,103
52,883
12,272
220,822
967,707
686,116
673,682
601,433
584,453
963,462
260,801
967,777
310,697
472,147
881,444
586,94
792,763
808,464
919,724
839,16
862,383
978,76
968,165
87,757
586,328
198,912
6,156
450,913
687,544
368,94
959,168
261,109
901,506
500,643
370,530
564,314
818,845
735,774
264,415
655,325
681,425
580,217
371,466
201,699
919,913
820,101
793,92
619,419
320,608
84,151
209,606
565,505
454,806
498,807
108,539
365,710
378,123
840,349
557,137
966,898
376,496
631,244
697,102
682,917
983,986
301,129
303,924
120,79
702,368
343,563
473,479
662,109
328,170
583,762
873,851
182,452
336,722
150,945
828,664
429,229
909,396
770,109
402,704
191,474
687,23
833,453
675,45
244,677
663,714
732,570
59,133
518,13
35,250
293,214
62,471
256,745
391,57
784,30
260,509
280,996
708,621
221,458
486,498
101,170
356,337
572,626
190,19
441,175
627,564
783,776
147,104
447,148
463,597
643,706
370,593
741,827
97,225
478,694
21,410
747,824
202,536
18,765
575,353
450,303
398,893
968,178
246,557
