value,weight
970,193
342,706
412,508
52,161
709,822
585,327
221,15
875,361
186,15
546,400
379,413
283,537
807,302
282,346
659,398
716,466
634,759
722,814
62,643
353,556
813,431
575,93
704,510
984,836
509,942
622,862
292,524
679,5
486,279
576,429
209,195
1000,81
288,501
359,955
999,894
213,167
365,494
375,554
522,470
27,940
96,129
93,631
261,16
139,635
974,617
331,504
832,43
620,575
776,985
17,750
723,888
18,918
559,607
717,586
728,490
866,469
950,819
748,488
108,542
971,336
36,758
934,368
981,569
981,512
838,149
845,682
157,830
821,52
936,902
741,895
629,767
583,11
957,912
733,29
530,873
786,278
242,428
157,713
700,290
847,608
815,359
86,523
585,788
578,711
533,247
796,455
670,401
943,146
960,28
854,713
758,814
445,210
589,70
676,637
936,482
710,827
853,635
48,230
228,158
196,34
936,151
373,854
982,636
757,734
147,723
739,704
986,441
848,672
98,848
472,291
453,532
742,85
389,835
111,175
58,15
529,232
831,953
5,207
354,731
895,114
137,625
902,310
250,845
47,516
459,903
492,756
56,21
58,873
371,564
472,257
550,235
115,543
444,368
110,470
277,290
15,804
560,499
741,808
163,615
261,90
390,981
436,702
877,705
991,309
684,787
206,888
901,968
279,921
428,730
454,832
820,295
354,230
555,283
67,810
248,171
624,78
845,48
933,165
215,155
305,411
442,163
661,856
10,352
217,843
756,171
793,688
59,164
900,245
302,767
53,775
142,724
418,243
998,434
874,35
907,192
604,88
195,96
762,231
874,760
548,793
639,445
593,106
613,302
305,566
365,826
757,955
577,448
48,479
963,729
271,95
188,620
275,296
105,798
640,326
856,931
157,447
760,277
836,635
166,840
668,819
