value,weight
904,535
484,872
130,42
994,23
499,748
103,853
491,373
265,871
728,629
312,822
185,811
905,7
837,724
840,688
265,348
122,912
440,813
344,804
996,793
607,378
635,965
317,395
126,180
526,930
555,428
732,212
986,994
141,475
340,469
918,843
255,985
902,271
934,827
61,785
885,852
75,885
11,468
493,616
416,796
545,466
558,191
979,885
483,446
777,273
100,39
297,158
894,673
266,933
598,55
831,452
697,158
928,972
725,37
43,504
54,48
40,523
828,321
642,534
674,972
281,654
914,252
764,382
883,519
195,902
36,139
211,392
843,316
395,826
14,76
987,317
315,157
685,673
483,262
403,699
760,343
272,572
712,354
339,359
362,848
357,830
485,533
52,569
535,882
808,509
995,165
234,317
164,631
925,624
278,266
636,575
268,44
595,648
291,340
274,315
110,648
348,241
427,433
302,868
10,828
130,984
774,909
923,820
820,562
635,748
809,961
977,798
128,567
278,30
560,366
326,321
755,642
772,163
667,313
365,677
288,189
359,558
645,535
675,349
768,793
541,632
431,783
740,588
144,859
533,914
185,5
490,114
758,539
968,879
17,426
606,351
36,593
265,709
474,734
84,116
115,248
245,778
6,41
155,870
137,805
235,136
244,115
10,108
995,663
229,683
906,177
4,790
379,326
845,719
50,496
124,542
746,373
608,92
937,305
601,640
278,505
854,196
195,974
851,523
893,833
719,265
136,753
843,414
528,102
999,481
162,105
255,454
585,378
738,883
108,437
667,477
884,938
800,817
748,200
920,817
209,318
474,590
977,470
480,957
232,606
842,279
981,499
679,680
835,604
439,468
875,768
451,897
511,486
286,941
993,463
629,781
778,994
457,54
751,244
806,836
694,977
843,381
478,323
554,321
908,854
458,161
