value,weight
586,476
915,104
156,814
272,551
278,928
629,462
198,897
632,816
435,289
991,118
971,752
15,487
383,360
822,400
83,153
640,801
170,193
470,444
687,669
6,826
286,25
347,436
472,168
564,107
693,369
483,460
404,342
532,68
294,610
917,99
377,334
716,24
80,136
931,41
600,656
217,781
205,24
979,193
683,88
904,67
568,443
986,750
134,194
503,170
63,523
927,895
865,414
913,238
185,195
30,348
939,347
479,748
215,657
409,112
1000,565
494,428
423,933
560,359
92,576
199,342
420,881
698,791
278,356
394,471
623,280
729,256
309,177
874,843
865,536
538,574
877,506
307,122
285,202
474,347
171,164
390,861
338,679
9,207
20,653
884,127
271,714
754,354
402,439
702,190
925,650
25,982
686,252
547,1000
168,622
259,47
166,657
706,689
590,273
449,788
184,196
147,561
781,469
36,581
165,744
361,432
153,561
226,876
807,686
666,900
859,197
767,70
978,611
13,103
698,787
869,337
998,983
770,659
174,293
780,813
434,673
149,399
71,715
89,789
466,997
131,713
546,292
699,877
610,648
587,507
236,553
881,467
161,840
542,288
116,671
21,511
631,246
607,757
532,219
707,260
510,5
52,858
321,45
482,471
483,170
722,912
230,207
457,781
726,411
76,811
180,437
115,518
213,98
555,415
541,85
419,470
493,249
15,949
996,62
864,600
601,702
580,188
678,242
457,771
400,798
909,905
659,117
354,575
778,794
349,562
93,117
405,734
411,999
616,76
966,490
913,381
511,551
326,690
518,805
798,602
395,339
680,711
243,914
102,405
746,826
617,560
855,735
518,745
477,200
613,364
981,501
378,185
233,34
796,477
308,644
419,141
757,350
64,471
674,536
484,908
984,341
154,134
697,616
968,546
695,763
872,721
