value,weight
563,486
39,847
165,313
21,606
326,35
986,428
398,36
316,62
43,44
27,789
188,698
428,134
40,755
931,671
596,315
925,135
395,564
931,27
511,24
258,377
590,332
80,186
673,315
697,601
678,891
223,731
701,537
72,698
791,140
953,842
962,536
161,390
665,522
920,352
368,155
142,372
582,627
792,191
851,779
284,185
441,766
334,20
38,557
492,168
111,990
972,437
193,376
645,836
649,518
346,619
452,965
699,483
408,340
174,343
505,655
499,194
375,672
805,901
845,859
364,61
285,331
719,509
462,966
958,613
383,362
390,767
414,811
374,553
329,355
734,948
566,460
680,488
510,197
894,770
747,182
123,139
451,865
118,46
693,199
904,349
960,220
839,952
370,601
379,900
910,276
53,916
319,134
64,495
345,225
975,462
7,339
262,967
686,179
45,722
521,415
823,144
678,952
593,555
477,851
629,175
17,332
254,995
727,449
926,907
476,968
644,501
715,638
65,885
251,973
601,784
854,345
783,738
638,776
432,948
99,36
794,733
776,806
310,148
683,528
872,175
386,582
303,835
499,34
128,881
124,204
549,209
393,842
307,374
556,345
761,310
615,416
980,180
309,749
887,459
422,7
344,857
729,696
878,365
132,20
22,15
471,10
861,27
326,918
944,554
541,304
23,613
230,749
240,526
269,999
455,469
325,348
467,107
420,40
276,255
289,440
633,315
150,85
302,378
464,680
426,960
739,568
334,893
603,525
954,584
789,232
578,21
532,561
981,82
223,476
222,500
679,913
507,520
751,767
299,128
612,117
781,149
836,485
195,44
299,285
733,454
640,378
690,447
534,443
690,435
742,991
670,168
506,61
713,132
148,934
504,76
725,833
980,653
938,787
121,187
761,328
558,412
225,562
493,600
991,333
653,712
