value,weight
411,193
76,445
37,475
713,892
871,141
710,187
751,518
449,253
388,294
744,955
4,69
248,420
120,485
615,733
540,934
25,686
251,686
639,241
304,490
495,535
335,238
100,393
81,693
661,248
478,934
124,889
301,859
29,905
487,855
198,272
226,203
301,525
409,789
20,462
345,437
426,210
342,565
444,494
460,805
129,648
761,392
507,755
783,223
864,999
96,728
320,660
794,99
890,619
138,240
239,777
236,352
240,777
200,846
626,437
249,842
687,649
472,578
257,548
789,477
144,947
293,462
731,284
895,361
203,628
528,725
818,813
366,710
747,920
394,261
299,395
550,775
756,983
558,567
643,936
76,33
567,706
659,668
218,876
365,834
965,516
104,327
35,527
667,532
319,851
438,703
682,307
895,641
796,469
465,835
708,436
407,902
91,846
439,598
130,377
425,745
396,478
382,354
589,618
838,381
994,341
234,622
147,769
872,947
619,361
868,362
272,827
107,640
718,884
731,144
886,814
295,60
699,576
647,226
557,186
163,126
406,924
664,928
114,354
75,138
156,134
3,825
812,722
115,93
668,744
845,854
178,8
122,149
31,133
285,28
246,716
728,707
592,658
637,824
956,977
527,626
845,479
706,306
931,852
892,575
987,293
295,44
106,698
159,240
533,840
101,530
500,891
406,255
380,364
726,50
396,771
62,470
648,210
101,635
769,325
530,99
341,833
671,279
818,200
473,243
374,502
316,122
499,980
667,871
830,535
654,122
806,635
412,388
697,953
239,111
482,954
232,148
207,839
15,58
679,375
740,288
633,148
468,503
951,866
611,455
138,413
864,100
335,830
982,109
94,593
94,394
67,382
74,383
541,362
445,705
476,826
278,763
177,356
843,805
837,185
889,546
67,883
514,933
945,247
480,256
449,134
