value,weight
233,335
938,859
147,353
7,314
413,715
868,465
269,28
791,643
386,12
670,481
10,755
342,570
438,915
885,3
754,156
23,348
417,364
637,415
254,408
933,877
613,148
698,615
223,571
435,942
940,836
802,471
667,265
931,87
565,981
436,166
784,937
707,331
799,499
666,244
127,3
784,128
796,723
466,228
458,611
415,150
823,478
481,129
261,325
134,397
782,838
134,298
720,25
280,385
800,286
589,359
74,62
638,551
390,12
432,923
279,176
93,359
102,496
223,394
435,739
998,857
275,292
417,946
173,743
753,258
710,251
800,579
452,388
385,190
848,539
361,633
116,309
858,581
996,53
649,910
578,439
21,32
905,434
904,202
27,200
131,90
46,53
945,85
953,66
269,705
276,221
320,793
565,559
818,59
311,745
130,18
637,692
753,484
989,84
160,695
639,31
410,692
52,368
771,536
68,163
880,403
72,620
265,583
774,681
281,503
818,464
310,649
97,102
172,458
81,494
964,228
805,994
953,774
477,368
899,136
17,436
900,146
534,846
992,248
225,160
706,580
233,183
522,712
145,947
506,398
979,604
344,486
576,691
813,451
963,386
860,154
502,505
798,944
891,742
986,111
269,128
795,317
368,368
17,618
634,413
953,75
181,562
936,568
661,614
763,294
899,64
514,201
804,213
866,122
660,424
114,505
860,860
862,600
355,673
615,947
784,473
67,79
349,853
400,126
855,433
396,612
938,160
89,154
241,813
476,709
300,168
92,561
882,970
535,807
341,957
944,312
606,250
653,669
925,984
109,797
410,718
951,194
82,477
837,1000
441,445
464,867
134,938
685,564
684,523
740,127
484,880
561,356
832,597
675,712
571,23
242,104
252,89
895,354
521,339
963,511
727,976
377,897
528,619
23,461
950,270
55,436
