value,weight
152,415
460,464
434,874
874,895
379,748
407,437
963,429
145,543
544,861
64,878
9,355
57,383
205,716
472,184
313,28
426,128
488,725
432,940
212,889
39,530
275,53
781,723
926,876
958,754
123,940
884,116
842,658
621,755
252,253
158,395
183,993
134,663
470,667
421,313
301,548
139,413
355,724
957,648
176,700
817,434
910,223
171,157
475,6
33,145
620,935
241,294
406,913
98,629
494,495
671,652
209,110
824,596
637,757
595,424
990,488
296,339
708,713
498,654
874,52
113,606
794,916
876,678
147,775
35,974
292,275
899,384
195,796
555,594
278,716
203,829
283,517
629,513
291,454
67,459
320,655
720,652
152,482
451,383
362,840
997,238
989,533
708,849
727,834
80,797
315,693
586,997
308,351
877,376
422,946
588,671
68,444
755,648
235,260
530,387
238,272
316,537
843,945
502,420
186,460
186,144
422,509
371,764
628,82
419,12
353,417
625,590
720,407
838,598
752,798
238,753
923,378
332,139
547,705
85,973
496,381
695,622
165,847
371,877
608,17
597,128
95,903
772,340
160,283
885,202
57,653
290,970
990,747
768,215
393,842
630,239
228,193
201,37
682,614
724,716
51,432
869,938
574,665
187,806
585,101
363,448
676,75
946,444
75,231
5,3
642,537
516,958
355,446
821,647
978,312
244,926
426,477
360,412
793,521
529,944
838,753
94,692
163,622
835,91
773,585
239,729
928,49
539,982
992,878
983,673
114,33
935,206
297,770
738,979
348,229
315,645
316,362
784,105
620,304
584,417
953,902
946,950
705,822
752,477
736,790
570,727
829,635
839,256
859,60
367,668
899,424
923,329
951,102
646,781
585,775
621,613
914,346
121,654
775,844
558,348
342,937
579,405
718,219
954,993
756,502
202,561
