value,weight
377,900
645,565
11,351
435,364
740,961
832,226
44,994
82,308
681,634
65,11
570,128
490,940
926,849
633,373
722,129
859,797
521,306
513,601
613,614
448,87
36,530
70,352
383,705
271,71
340,345
21,641
883,863
286,312
181,66
199,16
104,854
487,772
263,480
150,558
630,633
932,314
148,361
958,917
193,513
418,47
751,492
500,890
484,475
138,102
485,892
338,923
823,710
595,314
903,452
40,881
994,163
337,353
62,226
260,477
303,325
233,744
525,966
339,723
371,873
578,259
787,833
797,875
500,524
4,59
941,584
948,949
548,201
916,903
543,801
396,490
340,426
134,182
404,979
220,288
665,212
449,417
33,343
548,28
355,29
438,219
670,146
333,742
152,975
777,522
508,218
891,994
373,20
174,445
575,479
85,964
157,289
980,805
140,313
955,904
999,197
597,510
28,318
855,553
331,465
763,893
855,970
844,713
885,471
236,209
818,126
482,907
609,244
631,459
945,723
343,798
52,719
701,432
140,894
142,402
17,642
616,83
886,748
700,266
377,286
918,405
536,316
853,433
649,304
614,151
794,954
435,655
719,200
457,372
186,783
831,556
133,54
602,258
227,339
333,833
132,221
38,751
391,302
604,251
546,210
500,517
309,952
659,377
76,492
38,64
827,270
389,811
572,835
318,668
235,813
101,843
315,594
241,705
42,878
506,13
207,254
615,193
188,11
564,952
966,278
184,862
145,758
988,819
769,179
128,454
75,110
656,355
586,415
819,760
381,58
236,698
253,183
681,966
597,453
801,590
554,267
427,27
554,707
329,66
97,235
363,132
990,864
496,117
692,513
920,697
988,661
492,742
1000,835
31,826
130,524
686,466
299,407
570,291
920,161
159,465
599,182
108,482
295,640
179,670
693,347
683,926
