value,weight
51,465
820,101
773,635
185,580
391,141
46,355
527,614
521,461
28,814
152,3
380,813
568,724
688,501
47,165
100,526
665,686
563,398
927,289
456,162
247,903
151,526
492,985
1,557
461,24
678,838
892,217
117,131
341,985
799,655
854,552
458,787
573,101
617,685
604,886
825,701
858,882
806,493
236,134
804,381
625,8
9,384
51,251
399,335
240,887
136,520
224,508
146,155
802,683
82,776
935,457
588,192
832,873
664,214
554,733
369,178
663,489
992,602
825,876
669,229
856,235
165,134
123,636
7,537
699,796
904,125
394,229
414,422
651,648
506,77
899,699
110,559
460,727
662,863
315,480
140,657
87,658
995,732
962,532
365,298
981,812
872,527
971,759
163,372
767,267
846,775
882,899
927,961
236,829
849,827
396,708
327,62
795,46
991,246
306,945
337,889
804,982
62,58
669,346
462,861
890,645
234,614
267,673
128,883
267,873
612,418
72,763
11,136
182,532
427,544
198,414
983,148
363,72
319,850
925,690
579,70
734,756
200,600
626,578
971,874
4,918
923,553
652,682
235,509
668,360
733,854
546,624
642,965
103,461
941,108
702,172
472,899
360,450
653,496
372,217
495,986
941,183
706,202
923,620
212,927
851,365
895,468
74,178
111,88
749,600
589,314
852,131
350,383
324,396
110,842
324,59
254,678
856,418
117,787
153,461
194,891
597,817
31,279
498,200
945,651
462,294
452,274
211,28
259,287
710,879
942,954
598,43
644,12
697,425
295,495
682,442
432,612
287,807
951,466
399,415
364,8
609,332
572,751
847,402
579,415
90,933
944,100
439,766
790,765
678,673
950,282
395,982
810,591
725,58
949,977
540,586
526,11
697,996
499,645
45,489
241,970
955,939
570,325
905,103
360,608
873,694
