value,weight
90,769
878,154
284,4
228,265
85,822
905,55
845,415
851,625
90,391
626,600
803,381
843,553
951,630
138,986
139,534
188,250
314,423
410,230
246,203
769,668
541,767
327,229
64,438
600,460
893,326
582,302
804,668
575,861
950,895
24,669
465,667
576,889
336,869
831,931
623,374
285,943
93,86
327,890
74,62
411,604
896,465
461,15
389,528
131,339
78,785
579,672
616,691
316,455
696,473
137,190
155,960
938,102
71,151
957,370
256,378
306,973
326,27
108,712
148,606
67,456
412,750
686,16
845,961
149,456
478,565
653,210
357,926
853,476
800,630
325,127
541,839
231,979
589,480
725,181
842,665
946,294
130,524
261,377
348,18
175,960
775,959
558,779
753,508
762,887
397,223
748,239
110,745
815,26
48,12
526,721
118,94
877,810
837,854
716,133
632,866
574,875
77,67
688,870
804,214
996,266
936,271
333,454
662,540
973,446
467,803
139,392
586,609
360,456
866,264
584,307
557,620
854,469
165,843
655,223
370,583
537,856
535,945
285,231
722,387
495,754
929,49
190,990
994,589
47,644
163,903
252,668
432,181
818,881
387,988
536,105
518,955
643,279
204,144
638,390
405,386
551,236
344,83
429,984
723,615
757,282
406,173
212,110
893,89
487,173
620,859
638,240
37,592
415,577
84,34
478,168
756,127
834,494
667,467
723,882
360,691
872,318
157,48
589,949
391,235
609,363
730,563
541,840
714,448
473,611
876,227
529,768
531,172
900,205
950,855
653,279
958,668
626,371
902,866
418,355
267,168
828,360
611,896
346,935
434,656
564,953
279,13
225,362
677,534
209,206
629,746
981,971
665,360
320,247
11,873
799,391
204,420
867,768
769,518
120,558
504,123
645,663
408,245
516,251
206,840
428,299
