value,weight
609,324
461,117
139,855
259,260
364,961
512,850
420,242
106,44
777,258
985,459
794,808
930,924
782,521
777,733
242,993
739,13
193,642
177,833
781,54
680,975
308,842
318,216
23,777
655,447
956,313
61,201
371,71
742,456
69,98
751,776
848,734
911,964
215,112
678,582
358,505
860,538
420,769
654,229
641,921
34,383
951,156
132,506
356,963
146,398
381,724
90,755
39,62
899,786
983,964
272,441
210,443
769,817
198,682
20,693
127,437
441,240
149,758
979,499
331,809
482,139
411,841
45,227
988,132
836,115
949,168
140,421
348,753
884,479
31,73
164,258
76,354
134,214
772,59
228,136
353,420
289,753
145,599
796,364
355,301
110,867
358,194
861,486
984,255
241,994
644,242
291,858
933,676
654,565
135,143
413,604
797,9
548,205
540,529
563,760
303,813
733,110
156,886
215,913
107,57
611,661
207,850
884,465
853,567
20,497
850,694
82,219
9,76
119,675
177,307
879,430
948,631
589,696
364,886
598,2
705,74
608,811
182,756
772,890
9,630
966,765
744,892
917,753
257,560
614,23
90,954
675,743
343,688
697,716
522,359
767,708
165,686
426,522
115,563
805,913
356,125
502,319
959,718
268,723
986,562
4,973
293,760
531,969
60,108
542,200
539,198
605,107
788,211
534,12
579,509
77,507
379,114
409,441
930,46
850,293
95,734
367,953
524,11
556,168
790,198
880,910
857,358
460,835
65,435
872,334
603,54
920,275
762,407
819,800
85,970
636,546
437,239
473,190
693,21
257,270
194,939
851,755
138,907
393,362
537,339
347,972
350,296
864,861
628,281
664,57
724,389
268,726
912,571
759,58
730,732
158,170
283,255
626,819
904,441
679,233
951,990
620,618
647,672
499,406
653,347
275,446
