value,weight
373,536
369,393
879,107
671,208
176,461
852,486
432,366
118,88
325,70
269,359
582,500
974,592
210,357
525,265
502,925
503,473
853,662
157,949
513,450
972,771
944,998
266,148
19,813
171,459
264,797
81,805
615,675
794,28
337,966
27,156
572,322
299,736
691,252
442,770
546,765
648,150
56,325
354,737
541,477
342,51
875,312
448,990
792,31
326,546
505,464
966,847
323,562
375,846
523,544
388,45
670,583
133,549
442,910
224,801
363,993
45,164
137,154
623,711
311,101
934,79
399,845
169,903
56,936
752,967
953,284
912,481
72,205
544,91
451,709
872,966
120,494
986,730
632,951
232,236
21,24
709,69
525,875
920,32
31,113
770,367
554,894
801,858
724,395
325,230
536,254
815,614
713,504
218,625
267,299
929,424
617,869
656,729
592,637
719,188
131,769
977,586
368,994
571,741
495,29
535,369
531,966
80,989
337,291
912,789
366,330
558,199
885,168
539,959
293,423
499,922
720,587
209,828
800,882
826,302
725,614
604,175
330,584
808,702
325,978
666,297
996,680
273,413
709,12
290,459
414,454
471,963
979,932
317,712
190,499
59,784
681,650
662,830
735,175
41,453
616,225
234,427
67,426
424,135
382,886
432,377
785,340
319,117
728,592
146,268
71,338
65,431
720,399
290,184
103,857
241,663
911,374
669,133
550,954
198,257
363,650
67,333
192,511
728,452
378,658
228,82
37,834
520,167
565,63
68,450
719,850
228,911
526,227
495,820
585,750
512,118
705,91
221,626
65,305
661,434
190,775
415,119
430,7
101,334
757,215
663,392
530,188
548,233
96,341
212,413
416,929
480,42
868,615
947,174
382,160
218,22
599,355
6,935
572,581
763,117
275,394
728,510
323,12
335,98
633,23
895,530
