value,weight
431,818
971,531
249,733
201,682
258,535
22,480
938,104
800,434
775,976
911,633
152,494
672,426
748,599
47,355
808,215
385,27
7,320
823,7
731,324
118,317
586,752
916,438
517,655
429,141
418,863
91,783
737,477
644,990
147,224
989,670
758,468
317,770
253,822
324,12
140,71
218,456
874,927
28,315
639,79
320,885
13,890
106,880
834,65
64,444
715,834
904,393
965,988
289,552
293,10
270,23
400,153
167,591
740,848
826,531
805,771
847,950
779,676
945,993
977,71
336,49
393,671
731,241
266,514
34,745
131,342
122,187
786,431
874,749
485,351
226,496
642,888
236,164
210,897
234,110
855,826
95,727
391,365
482,690
369,667
276,441
300,920
771,44
270,789
191,848
834,760
577,992
603,594
676,155
981,53
835,834
27,799
210,843
442,15
945,78
869,99
99,324
826,900
749,831
689,191
497,723
693,848
2,927
755,653
682,287
448,796
120,41
999,538
573,601
527,657
957,844
458,917
843,246
194,380
940,304
559,736
102,681
404,674
650,784
807,652
516,211
974,898
627,743
287,414
452,677
224,704
193,573
149,230
127,34
848,717
381,146
939,132
280,808
369,481
483,399
98,627
452,157
621,428
354,841
80,400
970,403
531,630
361,839
562,482
772,302
337,732
619,417
186,817
20,770
513,531
147,241
177,504
975,479
184,84
696,915
997,756
93,199
202,937
138,94
820,388
902,20
479,396
50,9
639,25
518,508
601,748
206,553
232,989
657,6
835,816
450,904
163,693
919,668
251,299
687,692
512,369
521,801
752,881
631,496
367,329
673,778
620,134
214,595
330,47
310,239
762,523
762,700
670,137
893,408
208,50
924,448
257,581
344,817
230,975
805,559
789,420
930,632
661,358
577,620
123,361
881,748
