value,weight
86,405
250,982
152,408
464,757
521,322
925,963
233,139
887,53
734,827
830,300
167,753
679,205
235,138
30,878
919,330
832,574
294,779
54,930
146,39
645,352
449,587
523,25
348,546
500,848
817,426
642,466
536,128
731,577
106,795
852,809
581,135
36,853
764,993
123,143
187,506
1,779
1,698
723,710
70,674
335,608
20,285
57,763
697,436
319,783
746,357
207,596
116,895
96,987
316,565
133,354
831,28
734,650
803,835
921,694
316,46
470,393
586,215
392,700
88,834
423,276
672,762
58,44
49,373
897,364
842,265
265,94
881,282
129,16
356,538
449,603
321,907
83,527
817,804
737,129
550,477
206,946
622,56
281,381
24,750
507,108
659,707
26,895
677,928
310,947
777,259
672,211
802,581
859,854
740,184
370,533
578,674
905,86
289,178
480,65
412,438
602,951
417,95
404,58
616,130
120,94
612,267
569,730
466,8
297,26
663,7
863,684
862,181
268,956
214,964
740,783
225,488
362,217
825,831
339,475
726,555
525,596
979,781
41,19
670,79
243,646
389,61
610,970
54,297
371,952
431,403
288,976
44,265
678,869
39,352
764,333
66,551
703,851
712,980
346,362
889,390
747,912
20,207
249,220
559,291
337,494
882,209
872,498
193,837
243,377
864,575
314,860
833,156
387,93
600,78
266,988
352,555
614,274
175,543
63,774
868,87
324,458
513,548
105,449
803,615
653,935
622,639
721,540
510,980
413,959
520,967
749,972
823,984
576,617
154,547
929,347
58,576
166,679
722,70
278,199
903,28
816,452
487,196
470,203
94,636
216,213
819,337
277,830
81,362
501,570
57,14
969,271
533,140
236,595
615,509
331,947
504,720
303,412
421,938
724,210
180,983
265,339
436,617
672,679
146,516
640,903
