value,weight
175,405
984,721
777,727
125,840
683,641
50,823
763,642
461,945
936,106
28,855
792,409
644,736
548,321
363,913
800,866
141,794
263,354
971,357
388,886
787,979
971,746
48,325
725,729
177,260
786,418
792,845
545,463
81,477
755,723
474,652
598,791
689,297
885,929
784,650
533,49
214,822
978,121
792,650
360,9
437,316
37,900
823,887
219,291
44,147
220,468
196,752
78,951
718,31
30,820
355,733
344,492
956,861
444,74
830,545
485,398
291,573
108,974
901,112
769,769
596,887
281,466
855,608
963,165
119,832
884,193
590,873
90,162
55,884
462,897
7,455
594,915
256,499
66,459
647,684
744,637
987,22
391,296
342,544
689,294
625,16
300,27
975,899
407,672
403,87
330,715
206,63
675,469
712,529
245,991
224,608
227,762
199,370
139,706
934,805
901,53
288,954
946,814
945,446
874,353
918,49
558,738
991,645
708,319
159,5
384,998
748,159
983,380
138,816
847,260
154,306
67,16
967,708
435,870
785,486
183,666
402,288
812,756
150,166
391,486
856,314
607,613
168,382
919,545
992,180
817,354
622,228
758,393
651,129
953,816
538,792
244,23
828,614
257,436
192,517
139,78
929,587
814,14
439,912
936,251
415,697
435,272
894,846
827,372
137,260
633,670
960,215
338,443
488,536
898,398
208,927
594,730
908,254
369,543
117,289
150,15
393,565
339,779
990,484
61,703
722,26
848,598
559,312
815,499
378,651
418,918
114,919
176,208
21,973
739,891
6,526
148,1000
955,275
387,342
731,891
736,124
845,512
760,251
659,838
831,331
806,833
44,992
19,554
450,169
290,949
786,934
631,698
30,75
81,478
745,485
536,678
594,863
205,472
511,945
921,69
565,950
823,127
190,273
429,939
460,932
69,218
