value,weight
640,394
241,718
394,196
38,869
796,854
467,716
92,7
350,590
529,631
189,740
201,470
197,973
205,110
236,30
169,239
166,31
656,559
428,202
805,379
28,56
836,247
193,874
254,118
74,177
771,887
553,602
258,604
890,394
260,768
59,753
679,596
194,22
422,478
105,495
758,742
503,923
579,590
49,591
481,654
806,257
478,841
240,388
484,784
781,864
293,465
141,365
359,692
255,124
575,753
260,490
345,337
957,986
893,631
975,166
854,11
460,634
677,643
166,629
698,422
605,780
26,719
280,805
692,346
424,157
813,38
903,846
195,759
832,689
455,438
368,580
827,968
409,104
443,120
136,169
713,778
684,171
696,349
943,869
34,939
722,349
901,840
192,656
520,605
116,516
251,192
63,332
268,826
49,710
926,196
361,269
388,167
288,727
540,327
791,610
54,746
297,375
227,51
578,211
171,470
447,262
991,439
384,442
29,516
112,978
489,219
53,852
368,905
955,245
928,369
835,383
404,181
912,121
228,427
930,363
976,415
987,645
589,641
687,307
896,363
729,519
984,874
121,187
896,406
73,33
666,303
287,385
239,870
212,950
778,605
219,453
85,324
933,307
26,361
209,474
124,411
466,264
199,171
880,61
17,8
192,150
452,533
511,243
212,401
810,49
42,547
697,476
475,80
905,517
467,155
113,868
355,159
749,723
490,268
54,502
743,204
410,194
692,816
31,913
606,556
627,63
641,755
416,117
648,640
387,968
619,107
955,580
409,221
454,322
420,248
127,587
69,61
564,392
172,651
684,704
705,793
774,485
441,88
404,835
664,920
927,206
485,5
588,575
763,734
355,258
755,715
648,143
255,984
658,59
386,818
657,123
715,524
838,997
336,702
482,650
822,579
976,932
63,982
366,496
125,777
70,543
