value,weight
679,698
947,123
553,565
433,554
138,535
326,64
410,160
328,754
591,856
663,689
976,38
472,802
468,591
679,851
856,247
689,243
55,584
911,143
595,68
550,821
226,488
28,118
317,999
213,613
986,375
243,687
945,789
124,270
411,8
229,222
334,124
549,162
141,14
684,540
556,415
930,984
218,183
492,347
399,983
592,853
365,922
298,152
474,977
672,316
235,730
848,529
477,228
121,248
541,450
462,223
912,105
415,215
652,568
378,451
741,211
103,118
11,68
801,465
825,151
816,1
921,335
843,185
530,770
874,465
387,478
162,827
138,263
34,517
397,991
442,8
610,248
180,4
370,737
898,870
415,786
543,807
831,141
242,714
17,659
916,849
804,920
427,324
110,741
463,136
802,640
929,672
99,962
628,555
125,733
139,282
827,199
370,491
386,287
201,798
349,723
715,268
242,60
597,735
513,823
553,235
693,448
450,871
563,173
818,551
992,252
120,481
591,378
485,169
367,89
221,276
626,653
403,870
74,772
660,248
767,576
790,745
924,986
346,960
999,876
572,355
990,370
659,495
303,838
804,317
96,704
993,429
29,86
927,370
224,485
405,386
131,732
216,136
577,361
123,999
34,459
76,965
837,404
386,777
176,696
98,67
963,238
297,175
642,402
196,622
721,92
131,585
162,937
996,698
441,347
267,625
857,256
727,151
40,948
624,571
909,4
333,695
170,585
474,662
52,140
774,484
919,44
746,577
751,801
502,700
553,28
886,305
296,381
657,102
75,608
746,424
595,765
903,956
123,403
703,644
256,305
993,513
480,585
903,368
519,161
401,874
820,270
374,171
2,151
886,439
786,179
234,484
462,753
253,248
448,714
916,928
393,933
8,769
606,927
557,71
85,732
314,656
901,902
977,644
971,9
625,796
