value,weight
497,828
181,13
531,847
611,468
116,961
504,954
668,394
58,924
233,10
145,211
994,96
50,604
718,177
489,13
202,265
331,581
201,618
201,17
445,174
864,847
764,866
822,488
95,985
239,695
724,377
333,433
395,7
182,168
645,682
647,256
360,326
415,580
959,848
622,182
254,113
356,738
228,953
910,253
745,753
802,711
903,828
220,626
612,987
778,806
589,412
938,739
255,358
291,194
471,940
808,321
426,883
257,537
574,770
500,261
831,213
673,248
901,174
51,947
411,289
674,379
163,177
901,875
364,564
172,3
933,352
756,477
100,297
948,975
407,529
980,722
604,498
782,150
36,547
564,440
977,4
609,433
921,439
300,44
355,109
766,571
630,746
805,998
320,695
961,698
372,194
491,778
461,364
694,325
663,815
405,972
517,569
412,405
388,97
995,400
695,581
461,558
252,750
495,193
907,521
563,125
855,90
804,961
917,727
804,921
138,558
882,595
857,412
143,243
713,139
455,814
156,455
813,816
916,254
686,450
329,210
624,707
590,740
980,290
745,590
518,693
680,740
789,465
393,48
614,279
498,954
195,215
95,360
217,380
202,207
247,404
453,774
130,994
339,115
861,753
260,317
222,183
175,238
292,427
106,210
996,709
325,144
787,433
444,876
182,928
763,342
821,515
708,459
454,972
891,765
125,531
251,426
721,969
802,62
162,85
319,422
863,81
852,11
220,736
142,710
488,814
433,158
868,451
121,275
736,222
195,166
392,787
58,775
819,368
29,146
836,202
421,127
537,94
501,533
993,910
562,243
651,299
970,859
913,770
9,131
379,940
630,80
776,21
756,745
824,337
252,581
716,110
88,99
303,594
178,668
214,762
667,207
162,411
584,881
639,697
599,374
244,346
943,960
859,286
381,347
443,406
